chapter,verse,sanskrit,hindi,english
1,1,धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः | मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय || 1 ||,"धृतराष्ट्र बोले—हे सञ्जय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छा वाले मेरे और पाण्डु के पुत्रों ने क्या किया?","Dhratrastra said: Sañjaya, gathered on the sacred soil of Kuruksetra, eager to fight, what did my children and the children of Pandu do?"
1,2,दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा | आचार्यमुपसंगम्य राजा वचनमब्रवीत् || 2 ||,सञ्जय बोले—उस समय राजा दुर्योधन ने व्यूह रचनायुक्त पाण्डवों की सेना को देखकर और द्रोणाचार्य के पास जाकर यह वचन कहा।,"Sañjaya said: At that time, seeing the army of the Pandavas drawn up for battle and approaching Dronacarya King Duryodhana spoke these words:"
1,3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् | व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥३॥,हे आचार्य! आपके बुद्धिमान शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डु पुत्रों की इस बड़ी भारी सेना को देखिये ॥३॥,"Behold, Master, the mighty army of the sons of Pandu arrayed for battle by your talented pupil, Dhrstadyumna, son of Drupada."
1,5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |\nपुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥५॥,"महारथी राजा द्रुपद, धृष्टकेतु और चेकितान तथा","Dhrstaketu, Chekitana, the valiant king of Kasi, Purujit, Kuntibhoja, and Shaibya, the best of men."
1,4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि | युयुधानो विराटश्च द्रुपदश्च महारथः ॥४॥,इस सेना में बड़े-बड़े धनुषों वाले तथा युद्ध में भीम और अर्जुन के समान शूरवीर सात्म्यक और विराट तथा,"Here are heroes, mighty archers equal in battle to Bhima and Arjuna; Yuyudhana, Virata, and Drupada, the maharathis."
1,6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् | सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥६॥ अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः | नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः || ६ ||,"युधामन्यु, विक्रांत, उत्तमौजा, वीर्यवान् सौभद्र और द्रौपदी के पुत्र सभी महारथी हैं। और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत-से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं ॥६॥","the best of men and mighty Yudhamanyu, and valiant Uttamauja, Abhimanyu, the son of Subhadra, and the five sons of Draupadi,—all of them Maharathis (warrior chiefs)."
1,7,अस्माकं तु विशिष्टा ये तान्बोध द्विजोत्तम। नायकाः मम सैन्यस्य संज्ञार्थ तान्ब्रवीमि ते॥७॥,"हे ब्राह्मणश्रेष्ठ! अपने पक्ष में भी जो प्रधान हैं, उनको आप समझ लीजिये। आपकी जानकारी के लिये मेरी सेना के जो-जो सेनापति हैं, उनको बतलाता हूँ॥७॥","O best of Brahmanas, know them also who are distinguished among us, the commanders of my army; I tell you their names for your information."
1,8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिजिज्ञसः | अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च || ८ ||,"आप—द्रोणाचार्य और पितामह भीष्म तथा कर्ण और संग्राम विजयी कृपाचार्य तथा वैसे ही अश्वत्थामा, विकर्ण और सौमदत पुत्र भूरिश्रवा ॥८॥","Yourself and Bhisma and Karna and Kripa, who is ever victorious in battle; and even so Asvatthama, Vikarna and Bhurisrava (the son of Somadatta);"
1,9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः। नानाशस्त्रप्रहरणा: सर्वे युद्धविशारदाः ।।६।।,और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत-से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं ।। ६।।,"And there are many other heroes, equipped with various weapons and missiles, who have staked their lives for me, all skilled in warfare. (9)"
1,10,अपयान्तं तदस्माकं बलं भीमाभिरक्षितम्। पर्याप्तं तिवदमेतेषां बलं भीमाभिरक्षितम्॥१०॥,भीष्म पितामह द्वारा रक्षित हमारी वह सेना सब प्रकार से अजेय है और भीम द्वारा रक्षित इन लोगों की यह सेना जीतने में सुगम है ॥१०॥,"This army of ours, fully protected by Bhisma, is unconquerable; while that army of theirs, guarded in every way by Bhima, is easy to conquer."
